seed,fold,regime,train_end,test_start,test_end,n_test_days,sharpe,gross_sharpe,sortino,calmar,max_drawdown,total_return,ann_volatility,win_rate,mean_turnover,mean_hhi,mean_active_share,near_uniform,jk_sharpe_diff_annual,jk_z,jk_p,jk_significant,ew_sharpe,agent_sharpe_aligned,n_aligned,beats_ew
0,1,COVID crash/recovery,2020-03-31,2020-04-01,2020-09-30,130,1.5428570729046234,2.453630532259116,2.283417659344357,4.901414807711562,-0.09680721413150685,0.20203867090857353,0.25187885389693415,0.5307692307692308,0.4566123082516312,0.09394279993636317,0.36746889102099145,False,-0.5658483316029761,-2.0605045008507585,0.03935033602169202,True,2.1087054045075995,1.5428570729046234,130,False
0,2,COVID crash/recovery,2020-09-30,2020-10-01,2021-03-31,129,1.047555154206756,2.1546150176913077,1.6946007427040024,1.9423567036354643,-0.10049845173414627,0.08753582642040603,0.17028206354670283,0.4806201550387597,0.3740068446991915,0.10356968349370137,0.3707286100726402,False,-1.6174930384836135,-3.621792486480539,0.00029256877131511594,True,2.665048192690369,1.0475551542067558,129,False
0,3,2021 bull,2021-03-31,2021-04-01,2021-09-30,130,-1.1748878904234188,0.6260483993453373,-1.583950045701365,-1.1770440398813264,-0.10403766325277271,-0.06815204005039877,0.11115560120812189,0.43846153846153846,0.39722748905545674,0.07185250519626689,0.3300536871175996,False,-1.861243037311431,-5.040799129824141,4.635918731121791e-07,True,0.6863551468880126,-1.1748878904234186,130,False
0,4,2021 bull,2021-09-30,2021-10-01,2022-03-31,129,-1.477965744941874,0.13249266372758794,-2.2101312701810274,-1.1988333612061417,-0.16259125748918232,-0.1099732576166974,0.14663409229475313,0.4496124031007752,0.4684695812624016,0.07820406108851996,0.35187193792293187,False,-2.207716988589586,-5.514077237151547,3.506146106779795e-08,True,0.7297512436477126,-1.477965744941874,129,False
0,5,2022 bear (rate shock),2022-03-31,2022-04-01,2022-09-30,130,-2.9176280356294892,-1.677151493351829,-4.210107879262333,-1.6498556194274447,-0.2698641748772922,-0.2698641748772922,0.2017138039622659,0.4230769230769231,0.4968569881976761,0.08822761120168311,0.36300006104372834,False,-1.1811141654874229,-2.9722213361835776,0.0029565346061271036,True,-1.7365138701420664,-2.9176280356294892,130,False
0,6,2022 bear (rate shock),2022-09-30,2022-10-01,2023-03-31,129,-0.3854461203359066,0.9985082430890354,-0.6176128905707695,-0.4155752098795986,-0.1524350006529716,-0.04004121605945199,0.16976481208961108,0.46511627906976744,0.4684805904816053,0.10060394346772655,0.40022773894142566,False,-2.2479011446159096,-5.890160824908153,3.85819953763189e-09,True,1.862455024280003,-0.3854461203359066,129,False
0,7,2023-24 recovery/AI,2023-03-31,2023-04-01,2023-09-30,129,-2.6176509340651983,-0.2605301836184078,-4.511208882714908,-1.8082252815855557,-0.12417920045111339,-0.12417920045111341,0.09710069505774556,0.3875968992248062,0.4538190736079565,0.0975504385911108,0.4166439296221562,False,-2.4567960137050253,-3.338554474059865,0.000842155161121072,True,-0.1608549203601734,-2.6176509340651988,129,False
0,8,2023-24 recovery/AI,2023-09-30,2023-10-01,2024-03-31,129,0.3846217358139277,2.581939313009973,0.5927102884823257,0.7089594551313362,-0.05063889257410022,0.016031072753588393,0.09171081368718645,0.4883720930232558,0.4006426091400217,0.08750651985658651,0.37966102656411327,False,-3.788920383516569,-5.4702514437102465,4.493975480635015e-08,True,4.173542119330497,0.38462173581392767,129,False
0,9,2023-24 recovery/AI,2024-03-31,2024-04-01,2024-09-30,130,-1.1236241610239746,1.01643902137038,-1.4240790579682674,-0.9154717936564735,-0.12737157512069341,-0.06491037017184276,0.11031485884282996,0.5076923076923077,0.46841905653586413,0.09552948536763317,0.3769739650132169,False,-2.8704627728491343,-5.05571165356904,4.287887822584935e-07,True,1.74683861182516,-1.1236241610239746,130,False
1,1,COVID crash/recovery,2020-03-31,2020-04-01,2020-09-30,130,1.251876169091329,2.2040878037985587,1.8516954650902746,3.455962058545272,-0.10959290502399406,0.1603775479971119,0.2567196945729405,0.5307692307692308,0.4857533464971661,0.08188841373745692,0.3380800333937979,False,-0.8568292354162707,-3.2711425534624246,0.0010711390188802294,True,2.1087054045075995,1.251876169091329,130,False
1,2,COVID crash/recovery,2020-09-30,2020-10-01,2021-03-31,129,0.6111401268347683,1.8395770017585036,0.8246051461511439,1.1714017117456224,-0.09243239402813087,0.04640359099853364,0.16825297514514087,0.4728682170542636,0.41181875949760705,0.12061303556995552,0.39903834395471416,False,-2.0539080658556013,-3.856284021868155,0.00011512372020971995,True,2.665048192690369,0.6111401268347683,129,False
1,3,2021 bull,2021-03-31,2021-04-01,2021-09-30,130,-1.254001095194523,0.5907829889355899,-1.7265764848290555,-1.4563587159175002,-0.0875813998563878,-0.070820625714337,0.10878214083488634,0.46923076923076923,0.39828854705018996,0.07314483367258875,0.3282912527966007,False,-1.9403562420825358,-5.669162013462469,1.4349762711418634e-08,True,0.6863551468880126,-1.2540010951945233,130,False
1,4,2021 bull,2021-09-30,2021-10-01,2022-03-31,129,-0.5889986457203867,0.8452995822428468,-0.810622416152701,-0.5912708819651301,-0.1457876600603574,-0.05081947015500232,0.1530180551020735,0.4728682170542636,0.4352346638755876,0.08532650428615055,0.3672911208520535,False,-1.3187498893680991,-3.060594656302611,0.002208979241906661,True,0.7297512436477126,-0.5889986457203867,129,False
1,5,2022 bear (rate shock),2022-03-31,2022-04-01,2022-09-30,130,-2.7637928273640346,-1.541634864969081,-3.836000712829688,-1.654285752578287,-0.25505270120752566,-0.2539200428042889,0.19808462133679747,0.4153846153846154,0.4818537398708241,0.09739350379709814,0.3785126842522467,False,-1.0272789572219683,-3.762209652630086,0.00016841877410422867,True,-1.7365138701420664,-2.7637928273640346,130,False
1,6,2022 bear (rate shock),2022-09-30,2022-10-01,2023-03-31,129,0.6494981921521898,2.069457342814011,1.1770531023901847,1.084304902125732,-0.11164947599886495,0.05190459117651569,0.17598575748938902,0.5038759689922481,0.4973527588996614,0.08255326096932131,0.36733745858172107,False,-1.212956832127813,-3.1604838380485583,0.0015750734311246184,True,1.862455024280003,0.6494981921521898,129,False
1,7,2023-24 recovery/AI,2023-03-31,2023-04-01,2023-09-30,129,-2.3338170881185145,-0.310719530307444,-3.9861799182390616,-1.7996362792598877,-0.12537237469608045,-0.12537237469608042,0.1095068353598542,0.37209302325581395,0.4392266237364663,0.09908685923516308,0.4172646846736591,False,-2.172962167758341,-2.6656959395025757,0.007682914578987843,True,-0.1608549203601734,-2.333817088118515,129,False
1,8,2023-24 recovery/AI,2023-09-30,2023-10-01,2024-03-31,129,1.0686340659728906,3.278888735678873,1.7459015253669294,2.400051223535715,-0.04627901399858215,0.05278111841867461,0.09858129735275675,0.5038759689922481,0.43138991767570356,0.08338540866466909,0.3696560584283874,False,-3.1049080533576063,-5.086691103073874,3.64364557636776e-07,True,4.173542119330497,1.0686340659728906,129,False
1,9,2023-24 recovery/AI,2024-03-31,2024-04-01,2024-09-30,130,-0.8206993097410741,1.1196175493515277,-1.0234052322693374,-0.7769062748507674,-0.1187235730690126,-0.052114293566908665,0.11789149303400195,0.5076923076923077,0.4519249000588808,0.07939961041189397,0.3581270676080999,False,-2.567537921566234,-5.4401188760083,5.3245030606774435e-08,True,1.74683861182516,-0.8206993097410741,130,False
2,1,COVID crash/recovery,2020-03-31,2020-04-01,2020-09-30,130,1.323382771778716,2.080114628465544,2.1206248571092243,4.24693654450406,-0.10746977931284565,0.18929595752831108,0.28431695169169846,0.5153846153846153,0.43095466829511747,0.11395942553430863,0.3585745746975812,False,-0.7853226327288835,-2.5413609946085836,0.011042184434989943,True,2.1087054045075995,1.323382771778716,130,False
2,2,COVID crash/recovery,2020-09-30,2020-10-01,2021-03-31,129,1.9855814521273112,2.8796552310876176,3.209227775775132,5.655700615335628,-0.08034874582653112,0.2004557799013016,0.1888069544107056,0.5271317829457365,0.3354881646471683,0.1716614642601945,0.4581637140534719,False,-0.679466740563058,-1.1306648153346897,0.25819619572724006,False,2.665048192690369,1.9855814521273112,129,False
2,3,2021 bull,2021-03-31,2021-04-01,2021-09-30,130,-1.0329191759993623,0.8121807410401661,-1.5111213794137772,-1.1236073846093662,-0.09371512705762118,-0.058608903963712655,0.10769588480792415,0.46923076923076923,0.3941218261179389,0.07582754245620518,0.32971578012267583,False,-1.719274322887375,-4.527777782956804,5.960721614739484e-06,True,0.6863551468880126,-1.0329191759993623,130,False
2,4,2021 bull,2021-09-30,2021-10-01,2022-03-31,129,-0.30380212305559573,1.0860158365661055,-0.47534507006473903,-0.43512343074269544,-0.10458722014427631,-0.029421518921216028,0.15329741426803165,0.5116279069767442,0.4221013106796945,0.10470087861787841,0.39698055110219194,False,-1.0335533667033083,-2.1108123834956642,0.03478844130244285,True,0.7297512436477126,-0.3038021230555958,129,False
2,5,2022 bear (rate shock),2022-03-31,2022-04-01,2022-09-30,130,-2.8350704718866018,-1.6869177656621794,-3.9602285265409494,-1.6262795753690906,-0.2801435775185951,-0.2779112202474142,0.21421792032298415,0.38461538461538464,0.48924314470518415,0.084266612432224,0.36392306682775394,False,-1.0985566017445354,-3.753038883475441,0.00017470374361683305,True,-1.7365138701420664,-2.8350704718866018,130,False
2,6,2022 bear (rate shock),2022-09-30,2022-10-01,2023-03-31,129,-0.2071445889427065,1.20617177680845,-0.3482218656329297,-0.23792954602121652,-0.14701958435258944,-0.025442406595776568,0.1718811539002368,0.4573643410852713,0.48383638457157796,0.07675394694438942,0.3464038500130044,False,-2.0695996132227097,-6.566782049911405,5.1414206225786074e-11,True,1.862455024280003,-0.20714458894270651,129,False
2,7,2023-24 recovery/AI,2023-03-31,2023-04-01,2023-09-30,129,-1.2695726123944813,0.8418934717800897,-2.3193238183916733,-1.0471204466469957,-0.12198514586782332,-0.07031704936556071,0.10761323947573419,0.4263565891472868,0.45054591652985065,0.10998291356903163,0.422477385795495,False,-1.108717692034308,-1.5860622896636998,0.11272518017270627,False,-0.1608549203601734,-1.2695726123944815,129,False
2,8,2023-24 recovery/AI,2023-09-30,2023-10-01,2024-03-31,129,1.2943674531277667,3.3115483248215685,1.7811161394227153,2.4327603692269983,-0.060407923262385144,0.0696298943865965,0.10595950152272703,0.5658914728682171,0.42328332215486647,0.10499773566708878,0.41492715380176937,False,-2.87917466620273,-4.571662095563213,4.838707704957201e-06,True,4.173542119330497,1.2943674531277667,129,False
2,9,2023-24 recovery/AI,2024-03-31,2024-04-01,2024-09-30,130,0.1091865868447991,2.2611822815080878,0.1521630286306492,0.15284306569498896,-0.0808572077131922,0.0030729774477367133,0.11249569015036136,0.49230769230769234,0.48272827903005794,0.08734213320534033,0.35744401711647167,False,-1.637652024980361,-3.0713456623464532,0.002130962986488294,True,1.74683861182516,0.10918658684479911,130,False
